Altium Designer Pick and Place Locations
E:\Data\Bitbucket\altium-projects\evb-board-full-color-stm32f2xx\Source Files\Project Outputs for Evb board STM32F2 Fullcolor V1l0\Pick Place\Pick Place for Evb board STM32F2 Fullcolor V1l0.txt

========================================================================================================================
File Design Information:

Date:       24-12-19
Time:       12:36
Revision:   5620882fa967d7cb70833ba0d18ff80a2c9543da
Variant:    No variations
Units used: mm

Designator Comment                   Layer       Footprint           Center-X(mm) Center-Y(mm) Rotation Description                                                                                                 
R14        1K                        TopLayer    R0402               28.0496      3.6575       180      "RES 0R OHM 1/8W 1% SMD"                                                                                    
R16        1K                        TopLayer    R0402               24.7142      10.3377      180      "RES 0R OHM 1/8W 1% SMD"                                                                                    
U4         LM386N                    TopLayer    SOIC127P390X490-8N  11.9380      7.6200       180      "TEXAS INSTRUMENTS         LM386N-3/NOPB            AUDIO POWER AMPLIFIER, CLASS AB, 700mW DIP-8"           
U3         LM386N                    TopLayer    SOIC127P390X490-8N  20.3200      3.4544       180      "TEXAS INSTRUMENTS         LM386N-3/NOPB            AUDIO POWER AMPLIFIER, CLASS AB, 700mW DIP-8"           
R18        10R                       TopLayer    R0402               5.1308       9.4997       360      "RES 0R OHM 1/8W 1% SMD"                                                                                    
R17        10R                       TopLayer    R0402               16.9164      6.9851       360      "RES 0R OHM 1/8W 1% SMD"                                                                                    
R13        10K                       TopLayer    R0402               29.4133      9.0822       270      "RES 0R OHM 1/8W 1% SMD"                                                                                    
R15        10K                       TopLayer    R0402               26.5684      10.3123      180      "RES 0R OHM 1/8W 1% SMD"                                                                                    
J4         62000411821               TopLayer    62000411121         4.9022       1.2954       360      "WR-PHD 2.00 mm Socket Header"                                                                              
C19        100uF                     TopLayer    CAP-TAN-SMD-3530    6.1468       5.5626       270      "Tantalum capacitor , T491A475K016AT, KEMET"                                                                
C18        105                       TopLayer    C0402               7.2898       9.4996       180      "Surface Mound Multilayer Ceramic Chip Capacitor (SMD MLCC)"                                                
C17        100uF                     TopLayer    CAP-TAN-SMD-3530    12.2936      2.6416       180      "Tantalum capacitor , T491A475K016AT, KEMET"                                                                
C16        105                       TopLayer    C0402               18.8468      6.9851       180      "Surface Mound Multilayer Ceramic Chip Capacitor (SMD MLCC)"                                                
C15        1uF                       TopLayer    CAP-TAN-SMD-3216    24.3332      8.6868       180      "Tantalum capacitor , T491A475K016AT, KEMET"                                                                
C14        1uF                       TopLayer    CAP-TAN-SMD-3216    27.3304      5.6896       180      "Tantalum capacitor , T491A475K016AT, KEMET"                                                                
R12        4.7K                      BottomLayer R0402               30.5308      24.7903      360      "RES 0R OHM 1/8W 1% SMD"                                                                                    
BT1        "Button 2"                TopLayer    BT-2P0604B1V        36.9165      2.5400       90       "Button 2 Pin no Sheld"                                                                                     
R8         510R                      TopLayer    R0402               14.8082      36.4743      180      "RES 0R OHM 1/8W 1% SMD"                                                                                    
LD1        "LED SMD"                 TopLayer    LED_0805/2012_BLUE  12.6746      34.2646      180      "LED DIFFUSED SMD"                                                                                          
C7         104                       TopLayer    C0603               20.7264      32.2120      360      "Surface Mound Multilayer Ceramic Chip Capacitor (SMD MLCC)"                                                
USB1       629105150921              TopLayer    USB-629105150921    44.0713      27.6076      90       "Micro USB 2.0 Type AB"                                                                                     
